pattern,n_features,features,source,n,n_jak2,n_not_jak2,n_jak1,n_nonselective,ppv_jak2,recall_jak2,baseline_jak2_fraction,jak2_enrichment,odds_ratio,fisher_p,beam_score,passes_reporting_filter,fdr_q,passes_fdr,random_holdout_pattern,random_holdout_n_features,random_holdout_subset,random_holdout_discovery_seed,random_holdout_n,random_holdout_n_jak2,random_holdout_n_not_jak2,random_holdout_n_jak1,random_holdout_n_nonselective,random_holdout_ppv_jak2,random_holdout_recall_jak2,random_holdout_baseline_jak2_fraction,random_holdout_jak2_enrichment,random_holdout_odds_ratio,random_holdout_fisher_p,random_holdout_discovery_n,random_holdout_discovery_jak2_enrichment,random_holdout_discovery_fisher_p,random_holdout_discovery_fdr_q,independent_validation_pattern,independent_validation_n_features,independent_validation_n,independent_validation_n_jak2,independent_validation_n_jak1,independent_validation_n_nonselective,independent_validation_n_not_jak2,independent_validation_ppv_jak2,independent_validation_recall_jak2,independent_validation_baseline_jak2_fraction,independent_validation_jak2_enrichment,independent_validation_odds_ratio,independent_validation_fisher_p,independent_validation_mean_delta_pKi_pattern,independent_validation_mean_delta_pKi_nonpattern,independent_validation_mean_delta_pKi_shift,independent_validation_median_delta_pKi_shift,independent_validation_mannwhitney_u,independent_validation_mannwhitney_p,scaffold_holdout_n,scaffold_holdout_n_jak2,scaffold_holdout_n_not_jak2,scaffold_holdout_n_jak1,scaffold_holdout_n_nonselective,scaffold_holdout_ppv_jak2,scaffold_holdout_recall_jak2,scaffold_holdout_baseline_jak2_fraction,scaffold_holdout_jak2_enrichment,scaffold_holdout_odds_ratio,scaffold_holdout_fisher_p,specificity_jak2_enrichment,jak1_enrichment,nonselective_enrichment,specificity_score,passes_specificity_threshold,stable_under_ablation,jak1_feature_overlap,generic_binder_red_flag
J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,J1:ALA906:hydrophobic|J1:ARG1007|J1:LEU1010:hydrophobic|J1:LEU959:hydrogen_bond|J2:LEU855,beam_5,194,28,166,37,129,0.1443298969072164,0.1538461538461538,0.0449938195302843,3.207771609833465,4.049288061336254,1.996465688909974e-08,19.479423160734463,True,8.116254080754744e-07,True,J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,holdout,42,87,16,71,18,53,0.1839080459770115,0.2051282051282051,0.0449826989619377,4.0884173297966395,5.761017719218537,5.669545798577882e-07,194,3.207771609833465,1.996465688909974e-08,8.116254080754744e-07,J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,282,49,8,225,233,0.1737588652482269,0.1713286713286713,0.1025089605734767,1.695060258890046,2.015157277122834,0.0001075463488227,0.1654909175085049,-0.0194430844897692,0.1849340019982742,0.0,439138.5,1.321220943922937e-11,14,2,12,10,2,0.1428571428571428,0.3333333333333333,0.0057142857142857,25.0,43.0,0.0024037600113818,3.480372296742403,0.4036834391296507,1.3776158286366191,2.526373626373626,True,True,,False
J1:ALA906 AND J1:ARG1007 AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,J1:ALA906|J1:ARG1007|J1:LEU1010|J1:LEU959:hydrogen_bond|J2:LEU855,beam_5,194,28,166,37,129,0.1443298969072164,0.1538461538461538,0.0449938195302843,3.207771609833465,4.049288061336254,1.996465688909974e-08,19.479423160734463,True,8.116254080754744e-07,True,J1:ALA906 AND J1:ARG1007 AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,holdout,42,87,16,71,18,53,0.1839080459770115,0.2051282051282051,0.0449826989619377,4.0884173297966395,5.761017719218537,5.669545798577882e-07,194,3.207771609833465,1.996465688909974e-08,8.116254080754744e-07,J1:ALA906 AND J1:ARG1007 AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,282,49,8,225,233,0.1737588652482269,0.1713286713286713,0.1025089605734767,1.695060258890046,2.015157277122834,0.0001075463488227,0.1654909175085049,-0.0194430844897692,0.1849340019982742,0.0,439138.5,1.321220943922937e-11,14,2,12,10,2,0.1428571428571428,0.3333333333333333,0.0057142857142857,25.0,43.0,0.0024037600113818,3.480372296742403,0.4036834391296507,1.3776158286366191,2.526373626373626,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,J1:ALA906:hydrophobic|J1:ARG1007|J1:LEU1010|J1:LEU959:hydrogen_bond|J2:LEU855,beam_5,194,28,166,37,129,0.1443298969072164,0.1538461538461538,0.0449938195302843,3.207771609833465,4.049288061336254,1.996465688909974e-08,19.479423160734463,True,8.116254080754744e-07,True,J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,holdout,42,87,16,71,18,53,0.1839080459770115,0.2051282051282051,0.0449826989619377,4.0884173297966395,5.761017719218537,5.669545798577882e-07,194,3.207771609833465,1.996465688909974e-08,8.116254080754744e-07,J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,282,49,8,225,233,0.1737588652482269,0.1713286713286713,0.1025089605734767,1.695060258890046,2.015157277122834,0.0001075463488227,0.1654909175085049,-0.0194430844897692,0.1849340019982742,0.0,439138.5,1.321220943922937e-11,14,2,12,10,2,0.1428571428571428,0.3333333333333333,0.0057142857142857,25.0,43.0,0.0024037600113818,3.480372296742403,0.4036834391296507,1.3776158286366191,2.526373626373626,True,True,,False
J1:ALA906 AND J1:ARG1007 AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,J1:ALA906|J1:ARG1007|J1:LEU1010:hydrophobic|J1:LEU959:hydrogen_bond|J2:LEU855,beam_5,194,28,166,37,129,0.1443298969072164,0.1538461538461538,0.0449938195302843,3.207771609833465,4.049288061336254,1.996465688909974e-08,19.479423160734463,True,8.116254080754744e-07,True,J1:ALA906 AND J1:ARG1007 AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,holdout,42,87,16,71,18,53,0.1839080459770115,0.2051282051282051,0.0449826989619377,4.0884173297966395,5.761017719218537,5.669545798577882e-07,194,3.207771609833465,1.996465688909974e-08,8.116254080754744e-07,J1:ALA906 AND J1:ARG1007 AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855,5,282,49,8,225,233,0.1737588652482269,0.1713286713286713,0.1025089605734767,1.695060258890046,2.015157277122834,0.0001075463488227,0.1654909175085049,-0.0194430844897692,0.1849340019982742,0.0,439138.5,1.321220943922937e-11,14,2,12,10,2,0.1428571428571428,0.3333333333333333,0.0057142857142857,25.0,43.0,0.0024037600113818,3.480372296742403,0.4036834391296507,1.3776158286366191,2.526373626373626,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU1010|J1:LEU881|J1:LEU959:hydrogen_bond,beam_5,101,21,80,17,63,0.2079207920792079,0.1153846153846153,0.0449938195302843,4.621096725057121,6.167934782608696,1.853778862335149e-09,18.28438253965317,True,9.741757009318083e-08,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,holdout,42,40,12,28,1,27,0.3,0.1538461538461538,0.0449826989619377,6.669230769230769,10.571428571428571,5.93474165598848e-08,101,4.621096725057121,1.853778862335149e-09,9.741757009318083e-08,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,93,16,3,74,77,0.1720430107526881,0.0559440559440559,0.1025089605734767,1.6783216783216783,1.867821067821068,0.0348780241074136,0.2404338864832677,-0.0090675449039254,0.2495014313871931,0.1477296151770393,169444.0,4.890790055427843e-09,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.202045826513912,0.2632921773201512,1.3576457137487374,3.831666666666666,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU1010:hydrophobic|J1:LEU881|J1:LEU959:hydrogen_bond,beam_5,101,21,80,17,63,0.2079207920792079,0.1153846153846153,0.0449938195302843,4.621096725057121,6.167934782608696,1.853778862335149e-09,18.28438253965317,True,9.741757009318083e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,holdout,42,40,12,28,1,27,0.3,0.1538461538461538,0.0449826989619377,6.669230769230769,10.571428571428571,5.93474165598848e-08,101,4.621096725057121,1.853778862335149e-09,9.741757009318083e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,93,16,3,74,77,0.1720430107526881,0.0559440559440559,0.1025089605734767,1.6783216783216783,1.867821067821068,0.0348780241074136,0.2404338864832677,-0.0090675449039254,0.2495014313871931,0.1477296151770393,169444.0,4.890790055427843e-09,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.202045826513912,0.2632921773201512,1.3576457137487374,3.831666666666666,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU1010|J1:LEU881|J1:LEU959:hydrogen_bond,beam_5,101,21,80,17,63,0.2079207920792079,0.1153846153846153,0.0449938195302843,4.621096725057121,6.167934782608696,1.853778862335149e-09,18.28438253965317,True,9.741757009318083e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,holdout,42,40,12,28,1,27,0.3,0.1538461538461538,0.0449826989619377,6.669230769230769,10.571428571428571,5.93474165598848e-08,101,4.621096725057121,1.853778862335149e-09,9.741757009318083e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,93,16,3,74,77,0.1720430107526881,0.0559440559440559,0.1025089605734767,1.6783216783216783,1.867821067821068,0.0348780241074136,0.2404338864832677,-0.0090675449039254,0.2495014313871931,0.1477296151770393,169444.0,4.890790055427843e-09,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.202045826513912,0.2632921773201512,1.3576457137487374,3.831666666666666,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU1010:hydrophobic|J1:LEU881|J1:LEU959:hydrogen_bond,beam_5,101,21,80,17,63,0.2079207920792079,0.1153846153846153,0.0449938195302843,4.621096725057121,6.167934782608696,1.853778862335149e-09,18.28438253965317,True,9.741757009318083e-08,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,holdout,42,40,12,28,1,27,0.3,0.1538461538461538,0.0449826989619377,6.669230769230769,10.571428571428571,5.93474165598848e-08,101,4.621096725057121,1.853778862335149e-09,9.741757009318083e-08,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond,5,93,16,3,74,77,0.1720430107526881,0.0559440559440559,0.1025089605734767,1.6783216783216783,1.867821067821068,0.0348780241074136,0.2404338864832677,-0.0090675449039254,0.2495014313871931,0.1477296151770393,169444.0,4.890790055427843e-09,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.202045826513912,0.2632921773201512,1.3576457137487374,3.831666666666666,True,True,,False
J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic AND J2:TYR931,4,J1:ARG1007|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic|J2:TYR931,beam_4,249,22,227,83,144,0.0883534136546184,0.1208791208791208,0.0449938195302843,1.963678891389735,2.202422907488987,0.0021954313651424,12.459016288030762,True,0.0176987495319912,True,J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic AND J2:TYR931,4,holdout,42,115,11,104,31,73,0.0956521739130434,0.141025641025641,0.0449826989619377,2.126421404682274,2.450057405281286,0.0159498246665722,249,1.963678891389735,0.0021954313651424,0.0176987495319912,J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic AND J2:TYR931,4,254,43,8,203,211,0.1692913385826771,0.1503496503496503,0.1025089605734767,1.6514784428170255,1.923019913014647,0.0006786037725343,0.1794301965809237,-0.0187973529552435,0.1982275495361672,0.0,407512.0,1.3987059282775084e-12,45,2,43,38,5,0.0444444444444444,0.3333333333333333,0.0057142857142857,7.777777777777778,11.63953488372093,0.0241445296611418,2.0150781910397293,0.6459338306233381,1.268006285212763,1.5891705069124422,True,True,,False
J1:ALA906 AND J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,4,J1:ALA906|J1:ARG1007|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_4,207,30,177,43,134,0.144927536231884,0.1648351648351648,0.0449938195302843,3.22105430801083,4.110169491525424,5.226242240266645e-09,20.33620945866491,True,2.410694216832637e-07,True,J1:ALA906 AND J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,4,holdout,42,91,17,74,18,56,0.1868131868131868,0.2179487179487179,0.0449826989619377,4.153000845308537,5.957908728400532,1.8384758556719457e-07,207,3.22105430801083,5.226242240266645e-09,2.410694216832637e-07,J1:ALA906 AND J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,4,319,54,14,251,265,0.1692789968652037,0.1888111888111888,0.1025089605734767,1.6513580463423725,1.966590761223162,0.0001113507155116,0.1362114778003075,-0.0184323264189563,0.1546438042192638,0.0,482126.0,4.225034620795567e-11,17,2,15,13,2,0.1176470588235294,0.3333333333333333,0.0057142857142857,20.58823529411765,34.3,0.0035649388439534,3.5055885389778005,0.4221804655351643,1.356127094382128,2.585,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,4,J1:ALA906:hydrophobic|J1:ARG1007|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_4,207,30,177,43,134,0.144927536231884,0.1648351648351648,0.0449938195302843,3.22105430801083,4.110169491525424,5.226242240266645e-09,20.33620945866491,True,2.410694216832637e-07,True,J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,4,holdout,42,91,17,74,18,56,0.1868131868131868,0.2179487179487179,0.0449826989619377,4.153000845308537,5.957908728400532,1.8384758556719457e-07,207,3.22105430801083,5.226242240266645e-09,2.410694216832637e-07,J1:ALA906:hydrophobic AND J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,4,319,54,14,251,265,0.1692789968652037,0.1888111888111888,0.1025089605734767,1.6513580463423725,1.966590761223162,0.0001113507155116,0.1362114778003075,-0.0184323264189563,0.1546438042192638,0.0,482126.0,4.225034620795567e-11,17,2,15,13,2,0.1176470588235294,0.3333333333333333,0.0057142857142857,20.58823529411765,34.3,0.0035649388439534,3.5055885389778005,0.4221804655351643,1.356127094382128,2.585,True,True,,False
J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855 AND J2:TYR931,4,J1:ARG1007|J1:LEU959:hydrogen_bond|J2:LEU855|J2:TYR931,beam_4,250,22,228,84,144,0.088,0.1208791208791208,0.0449938195302843,1.955824175824176,2.1921600877192984,0.0022512190388727,12.410159440203548,True,0.0180756034703037,True,J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855 AND J2:TYR931,4,holdout,42,117,11,106,32,74,0.094017094017094,0.141025641025641,0.0449826989619377,2.0900723208415517,2.4007321881160237,0.0171189846898729,250,1.955824175824176,0.0022512190388727,0.0180756034703037,J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:LEU855 AND J2:TYR931,4,261,44,8,209,217,0.1685823754789272,0.1538461538461538,0.1025089605734767,1.6445623342175066,1.916212819438626,0.0005389814101745,0.1774545311151297,-0.0191421311917721,0.1965966623069019,0.0,416329.5,1.5692024212177177e-12,45,2,43,38,5,0.0444444444444444,0.3333333333333333,0.0057142857142857,7.777777777777778,11.63953488372093,0.0241445296611418,1.9986061622301403,0.6518932564711466,1.2634366923768905,1.581880733944954,True,True,,False
J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:TYR931,3,J1:ARG1007|J1:LEU959:hydrogen_bond|J2:TYR931,beam_3,257,23,234,86,148,0.0894941634241245,0.1263736263736263,0.0449938195302843,1.9890323684098004,2.2433747245068,0.0014763903167429,12.952925695237044,True,0.0131284590937497,True,J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:TYR931,3,holdout,42,120,12,108,32,76,0.1,0.1538461538461538,0.0449826989619377,2.223076923076923,2.606060606060606,0.0092133551692552,257,1.9890323684098004,0.0014763903167429,0.0131284590937497,J1:ARG1007 AND J1:LEU959:hydrogen_bond AND J2:TYR931,3,262,44,8,210,218,0.1679389312977099,0.1538461538461538,0.1025089605734767,1.638285378743394,1.9065888240200168,0.0005608697839537,0.1767772237444613,-0.0191497032373385,0.1959269269817998,0.0,417405.5,1.7709663034812788e-12,46,2,44,38,6,0.0434782608695652,0.3333333333333333,0.0057142857142857,7.608695652173913,11.363636363636363,0.0251766955129516,2.063507447459702,0.6455430660555079,1.2637748960518749,1.6328125000000002,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_5,90,20,70,15,55,0.2222222222222222,0.1098901098901098,0.0449938195302843,4.938949938949939,6.689594356261023,1.3377712264732914e-09,18.03023113909564,True,7.2814762831593e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,holdout,42,34,11,23,0,23,0.3235294117647059,0.141025641025641,0.0449826989619377,7.1923076923076925,11.656716417910449,9.315588414492777e-08,90,4.938949938949939,1.3377712264732914e-09,7.2814762831593e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,96,16,5,75,80,0.1666666666666666,0.0559440559440559,0.1025089605734767,1.6258741258741256,1.7955555555555556,0.0403124278996188,0.1999940006802959,-0.0079043211686159,0.2078983218489119,0.1865430955365376,173081.0,1.020443588280799e-08,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.556730769230769,0.2494905712509498,1.3379379533878686,4.153205128205127,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_5,90,20,70,15,55,0.2222222222222222,0.1098901098901098,0.0449938195302843,4.938949938949939,6.689594356261023,1.3377712264732914e-09,18.03023113909564,True,7.2814762831593e-08,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,holdout,42,34,11,23,0,23,0.3235294117647059,0.141025641025641,0.0449826989619377,7.1923076923076925,11.656716417910449,9.315588414492777e-08,90,4.938949938949939,1.3377712264732914e-09,7.2814762831593e-08,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,96,16,5,75,80,0.1666666666666666,0.0559440559440559,0.1025089605734767,1.6258741258741256,1.7955555555555556,0.0403124278996188,0.1999940006802959,-0.0079043211686159,0.2078983218489119,0.1865430955365376,173081.0,1.020443588280799e-08,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.556730769230769,0.2494905712509498,1.3379379533878686,4.153205128205127,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU1010:hydrophobic|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_5,88,18,70,15,55,0.2045454545454545,0.0989010989010989,0.0449938195302843,4.546078921078921,5.947212543554007,3.788747009729711e-08,16.725296801889364,True,1.4312189493720088e-06,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,holdout,42,36,11,25,1,24,0.3055555555555556,0.141025641025641,0.0449826989619377,6.792735042735043,10.711044776119405,1.8184800937936073e-07,88,4.546078921078921,3.788747009729711e-08,1.4312189493720088e-06,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,96,16,3,77,80,0.1666666666666666,0.0559440559440559,0.1025089605734767,1.6258741258741256,1.7955555555555556,0.0403124278996188,0.2320723875190761,-0.0090474262675479,0.2411198137866241,0.1562699319115157,172788.0,1.2781902869850084e-08,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.198232009925558,0.2661232760010131,1.3550910040723283,3.8360759493670886,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU1010|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_5,88,18,70,15,55,0.2045454545454545,0.0989010989010989,0.0449938195302843,4.546078921078921,5.947212543554007,3.788747009729711e-08,16.725296801889364,True,1.4312189493720088e-06,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,holdout,42,36,11,25,1,24,0.3055555555555556,0.141025641025641,0.0449826989619377,6.792735042735043,10.711044776119405,1.8184800937936073e-07,88,4.546078921078921,3.788747009729711e-08,1.4312189493720088e-06,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU1010 AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,96,16,3,77,80,0.1666666666666666,0.0559440559440559,0.1025089605734767,1.6258741258741256,1.7955555555555556,0.0403124278996188,0.2320723875190761,-0.0090474262675479,0.2411198137866241,0.1562699319115157,172788.0,1.2781902869850084e-08,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.198232009925558,0.2661232760010131,1.3550910040723283,3.8360759493670886,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU1010:hydrophobic|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_5,88,18,70,15,55,0.2045454545454545,0.0989010989010989,0.0449938195302843,4.546078921078921,5.947212543554007,3.788747009729711e-08,16.725296801889364,True,1.4312189493720088e-06,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,holdout,42,36,11,25,1,24,0.3055555555555556,0.141025641025641,0.0449826989619377,6.792735042735043,10.711044776119405,1.8184800937936073e-07,88,4.546078921078921,3.788747009729711e-08,1.4312189493720088e-06,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU1010:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,96,16,3,77,80,0.1666666666666666,0.0559440559440559,0.1025089605734767,1.6258741258741256,1.7955555555555556,0.0403124278996188,0.2320723875190761,-0.0090474262675479,0.2411198137866241,0.1562699319115157,172788.0,1.2781902869850084e-08,2,1,1,0,1,0.5,0.1666666666666666,0.0057142857142857,87.5,208.6,0.0114013346043851,5.198232009925558,0.2661232760010131,1.3550910040723283,3.8360759493670886,True,True,,False
J1:ALA906 AND J1:ARG1007 AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,J1:ALA906|J1:ARG1007|J1:LEU881:hydrophobic|J1:LEU959:hydrogen_bond|J2:LEU855:hydrophobic,beam_5,193,30,163,33,130,0.155440414507772,0.1648351648351648,0.0449938195302843,3.454705915845812,4.4801420729738455,9.265689789610215e-10,20.833869737937963,True,5.268071641332206e-08,True,J1:ALA906 AND J1:ARG1007 AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,holdout,42,80,16,64,12,52,0.2,0.2051282051282051,0.0449826989619377,4.446153846153846,6.419354838709677,1.654754585645367e-07,193,3.454705915845812,9.265689789610215e-10,5.268071641332206e-08,J1:ALA906 AND J1:ARG1007 AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J2:LEU855:hydrophobic,5,300,50,13,237,250,0.1666666666666666,0.1748251748251748,0.1025089605734767,1.6258741258741256,1.9101694915254237,0.0002586444907155,0.138692219164597,-0.0175511979567558,0.1562434171213529,0.0,458469.5,6.062813582832647e-11,11,2,9,7,2,0.1818181818181818,0.3333333333333333,0.0057142857142857,31.81818181818182,57.5,0.0014640132487188,3.7451958298112142,0.3399651740122832,1.417985523248681,2.6412087912087916,True,True,,False
