smiles	jak1_ic50_nM	jak2_ic50_nM	matched_assay_descriptions	n_matched_assay_descriptions	n_jak1_values_used	n_jak2_values_used	fold_selective_JAK1_over_JAK2	fold_selective_JAK2_over_JAK1
CCn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3C[C@H]3C#N)n2)cn1	13	67	Caliper Enzyme Assay: Compounds were added to a 384-well plate. Reaction mixtures contained 10 mM HEPES, pH 7.4, 10 mM MgCl2, 0.01% BSA, 0.0005% Tween 20, 1 mM ATP and 1 μM peptide substrate. The JAK1 and TYK2 assays contained 1 μM of the IRStide peptide (5FAM-KKSRGDYMTMQID) and the JAK2 and JAK3 assays contained 1 μM of the JAKtide peptide (FITC-KGGEEEEYFELVKK). The assays were initiated by the addition of 20 nM JAK1, 1 nM JAK2, 1 nM JAK or 1 nM TYK2 enzyme and were incubated at room temperature for three hours for JAK1, 60 minutes for JAK2, 75 minutes for JAK3 or 135 minutes for TYK2. Enzyme concentrations and incubation times were optimized for each new enzyme preps and were modified slightly over time to ensure 20% to 30% phosphorylation. The assays were stopped with 15 μL of 180 mM HEPES, pH 7.4, 20 mM EDTA, and 0.2% Coating Reagent 3. The assay plates were placed on a Caliper Life Science LC3000 instrument, and each well was sampled using appropriate separation conditions to measure the unphosphorylated and phosphorylated peptide. ||| JAK Caliper Enzyme Assay at 1 mM ATP: Compounds were added to a 384-well plate. Reaction mixtures contained 10 mM HEPES, pH 7.4, 10 mM MgCl2, 0.01% BSA, 0.0005% Tween 20, 1 mM ATP and 1 μM peptide substrate. The JAK1 and TYK2 assays contained 1 μM of the IRStide peptide (5FAM-KKSRGDYMTMQID) and the JAK2 and JAK3 assays contained 1 μM of the JAKtide peptide (FITC-KGGEEEEYFELVKK). The assays were initiated by the addition of 20 nM JAK1, 1 nM JAK2, 1 nM JAK or 1 nM TYK2 enzyme and were incubated at room temperature for three hours for JAK1, 60 minutes for JAK2, 75 minutes for JAK3 or 135 minutes for TYK2. Enzyme concentrations and incubation times were optimized for each new enzyme preps and were modified slightly over time to ensure 20% to 30% phosphorylation. The assays were stopped with 15 μL of 180 mM HEPES, pH 7.4, 20 mM EDTA, and 0.2% Coating Reagent 3. The assay plates were placed on a Caliper Life Science LC3000 instrument, and each well was sampled using appropriate separation conditions to measure the unphosphorylated and phosphorylated peptide. ||| JAK Caliper Enzyme Assay: Compounds were added to a 384-well plate. Reaction mixtures contained 10 mM HEPES, pH 7.4, 10 mM MgCl2, 0.01% BSA, 0.0005% Tween 20, 1 mM ATP and 1 M peptide substrate. The JAK and TYK2 assays contained 1 M of the IRStide peptide (5FAM-KKSRGDYMTMQID) and the JAK2 and JAK3 assays contained 1 M of the JAKtide peptide (FITC-KGGEEEEYFELVKK). The assays were initiated by the addition of 20 nM JAK1, 1 nM JAK2, 1 nM JAK or 1 nM TYK2 enzyme and were incubated at room temperature for three hours for JAK1, 60 minutes for JAK2, 75 minutes for JAK3 or 135 minutes for TYK2. Enzyme concentrations and incubation times were optimized for each new enzyme preps and were modified slightly overtime to ensure 20% to 30% phosphorylation. The assays were stopped with 15 μL of 180 mM HEPES, pH 7.4, 20 mM EDTA, and 0.2% Coating Reagent 3. The assay plates were placed on a Caliper Life Science LC3000 instrument, and each well was sampled using appropriate separation conditions to measure the unphosphorylated and phosphorylated peptide.	3	3	3	5.15385	0.19403
CCn1ccnc1CN1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1	30	447	HTRF Biochemical Assay: The reactions employed a common peptide substrate, LCB-EQEDEPEGDYFEWLW-NH2 (in-house). The basic assay protocol is as follows: First, 250 nL of diluted compounds in DMSO were dispensed into the wells of a dry 384-well Black plate (Greiner #781076) using a Labcyte Echo 555 acoustic dispenser. Subsequent reagent additions employed an Agilent Bravo. Next, 18 uL of 1.11x enzyme and 1.11x substrate in 1x assay buffer (Invitrogen kinase buffer # PV3189, 2 mM DTT, 0.05% BSA) were added to the wells and shaken and then preincubated for 30 minutes at room temperature to allow compound binding to equilibrate. After equilibration, 2 uL of 10xATP in 1x assay buffer was added to initiate the kinase reaction and the plates were shaken and then incubated at room temperature for 120 minutes. At the end of the incubation, 20 uL of 2x stop buffer (streptavidin-Dylight 650 (Thermo #84547B/100 mL), Eu-tagged pY20 antibody (Perkin Elmer #AD0067), EDTA, HEPES, and Triton) was added to quench the reaction.	1	1	1	14.9	0.0671141
CCn1ccnc1CN1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1	2	11	Biochemical HTRF Assay: The ability of compounds to inhibit the activity of JAK1, JAK2, JAK3, and Tyk2 was measured using a recombinant purified GST-tagged catalytic domain for each enzyme (Invitrogen JAK1 #M4290, JAK2 #M4290, JAK3 #M4290, Tyk2 #M4290) in an HTRF format biochemical assay. The reactions employed a common peptide substrate, LCB-EQEDEPEGDYFEWLW-NH2 (in-house). The basic assay protocol is as follows: First, 250 nL of diluted compounds in DMSO were dispensed into the wells of a dry 384-well Black plate (Greiner #781076) using a Labcyte Echo 555 acoustic dispenser. Subsequent reagent additions employed an Agilent Bravo. Next, 18 μL of 1.11× enzyme and 1.11× substrate in 1× assay buffer (Invitrogen kinase buffer # PV3189, 2 mM DTT, 0.05% BSA) were added to the wells and shaken and then preincubated for 30 minutes at ambient temperature to allow compound binding to equilibrate. After equilibration, 2 μL of 10×ATP in 1× assay buffer was added to initiate the kinase reaction and the plates were shaken and then incubated at ambient temperature for 120 minutes. At the end of the incubation, 20 μL of 2× stop buffer (streptavidin-Dylight 650 (Thermo #84547B/100 mL), Eu-tagged pY20 antibody (Perkin Elmer #AD0067), EDTA, HEPES, and Triton) was added to quench the reaction. Plates were shaken and centrifuged and then incubated 60 minutes at ambient temperature and then read on a Perkin Elmer Envision (λex=337 nm, λem=665 and 615 nm, TRF delay time=20 μs). HTRF signal=10,000*665 nm reading/615 nm reading.	1	1	1	5.5	0.181818
CCn1ccnc1CN1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1	7	82	Biochemical HTRF Assay: The ability of compounds to inhibit the activity of JAK1, JAK2, JAK3, and Tyk2 was measured using a recombinant purified GST-tagged catalytic domain for each enzyme (Invitrogen JAK1 #M4290, JAK2 #M4290, JAK3 #M4290, Tyk2 #M4290) in an HTRF format biochemical assay. The reactions employed a common peptide substrate, LCB-EQEDEPEGDYFEWLW-NH2 (in-house). The basic assay protocol is as follows: First, 250 nL of diluted compounds in DMSO were dispensed into the wells of a dry 384-well Black plate (Greiner #781076) using a Labcyte Echo 555 acoustic dispenser. Subsequent reagent additions employed an Agilent Bravo. Next, 18 μL of 1.11× enzyme and 1.11× substrate in 1× assay buffer (Invitrogen kinase buffer # PV3189, 2 mM DTT, 0.05% BSA) were added to the wells and shaken and then preincubated for 30 minutes at ambient temperature to allow compound binding to equilibrate. After equilibration, 2 μL of 10×ATP in 1× assay buffer was added to initiate the kinase reaction and the plates were shaken and then incubated at ambient temperature for 120 minutes. At the end of the incubation, 20 μL of 2× stop buffer (streptavidin-Dylight 650 (Thermo #84547B/100 mL), Eu-tagged pY20 antibody (Perkin Elmer #AD0067), EDTA, HEPES, and Triton) was added to quench the reaction. Plates were shaken and centrifuged and then incubated 60 minutes at ambient temperature and then read on a Perkin Elmer Envision (λex=337 nm, λem=665 and 615 nm, TRF delay time=20 μs). HTRF signal=10,000*665 nm reading/615 nm reading.	1	1	1	11.7143	0.0853659
CCn1nc(Nc2cc(O[C@H]3CC[C@@H](NC[C@@H](O)C(F)(F)F)CC3)cc3c2ncn3C)cc1C	5.43	901	JAK1, JAK2 and JAK3 In Vitro Enzyme Assays : The JAK LanthaScreen Kinase Assay (Invitrogen) is used to determine the ability of test compounds to inhibit JAK1, JAK2, and JAK3 kinase activity. These are TR-FRET assay formats that use long-lifetime terbium labeled antibody as the donor species and GFP-STAT1 as the acceptor species. Use the TR-FRET ratio to monitor JAK kinase activity where an increase in phosphorylation of the GFP-STAT1 results in an increase in the TR-FRET ratio. Perform the kinase reaction using a 12.5 μl reaction volume in shallow black 384-well Proxiplate®. Add reagents to obtain final reaction conditions of 50 ml HEPES pH, 1.76 mM Triton X-100, ATP (20.0 μM for JAK1 and JAK3 or 5 μM for JAK2) enzyme assays, 10.0 mM MgCl2, 1 mM EGTA and 0.01% Brij-35, 0.05 mM GFP-STAT1, 14 nM JAK1 enzyme for JAK1, 1.0 nM for JAK2 or 2.5 nM for JAK3 enzyme assays, and 4% DMSO and serial dilutions of test compound (diluted 1:3 from 20,000 to 1 nM). Following ATP/GFP-STAT1 addition, centrifuge the assay plates for 1 minute at 1000 revolutions per minute (RPM). Allow the plates to incubate at RT for 60 minutes and then add 12.5 μl of a stopping buffer containing 20 mM EDTA, 2 nM Terbium-anti-phosphorylated Signal Transducers and Activators of Transcription [phosphorylation Tyrosine 701 amino acid] Antibody (Tb-anti-pSTAT1 [pTyr701], 0.67 mM tris(hydroxymethyl)aminoethane hydrochloride (Trizma) pH 7.5, 0.02% NaN3 and 0.01% nonylphenylpolyethylene glycol (Nonidet P40). Incubate at RT for 90 min and read in an EnVision plate reader with 340 nm wavelength excitation filter and emission filters of 520 nm and 495 nm wavelengths. Derive the ratio from the emission wavelength for the GFP-STAT1 which is measured at 520 nm versus the emission at 495 nm for the (Tb-anti-pSTAT1 [pTyr701]. Derive the IC50 value for each compound using percent inhibition data which is calculated from the reaction data relative to on-plate controls (active enzyme versus enzyme inhibited at 2.0 mM with tofacitinib). Use ACTIVITYBASE 4.0 to fit the percent inhibition and ten-point compound concentration data to a four-parameter logistic equation.	1	1	1	165.93	0.00602664
CCn1nccc1NC(=O)N1CCC(N2CC(CC#N)(n3cc(-c4ncnc5[nH]ccc45)cn3)C2)CC1	19.3649	43.3013	In Vitro JAK Kinase Assay: Compounds herein were tested for inhibitory activity of JAK targets according to the following in vitro assay described in Park et al., Analytical Biochemistry 1999, 269, 94-104. The catalytic domains of human JAK1 (a.a. 837-1142), Jak2 (a.a. 828-1132) and Jak3 (a.a. 781-1124) with an N-terminal His tag were expressed using baculovirus in insect cells and purified. The catalytic activity of JAK1, JAK2 or JAK3 was assayed by measuring the phosphorylation of a biotinylated peptide. The phosphorylated peptide was detected by homogenous time resolved fluorescence (HTRF). IC50s of compounds were measured for each kinase in the 40 microL reactions that contain the enzyme, ATP and 500 nM peptide in 50 mM Tris (pH 7.8) buffer with 100 mM NaCl, 5 mM DTT, and 0.1 mg/mL (0.01%) BSA. For the 1 mM IC50 measurements, ATP concentration in the reactions was 1 mM. Reactions were carried out at room temperature for 1 hr and then stopped with 20 μL 45 mM EDTA, 300 nM SA-APC, 6 nM Eu-Py20 in assay buffer (Perkin Elmer, Boston, Mass.). Binding to the Europium labeled antibody took place for 40 minutes and HTRF signal was measured on a Fusion plate reader (Perkin Elmer, Boston, Mass.). ||| In vitro JAK Kinase Assay: The catalytic domains of human JAK1 (a.a. 837-1142), Jak2 (a.a. 828-1132) and Jak3 (a.a. 781-1124) with an N-terminal His tag were expressed using baculovirus in insect cells and purified. The catalytic activity of JAK1, JAK2 or JAK3 was assayed by measuring the phosphorylation of a biotinylated peptide. The phosphorylated peptide was detected by homogenous time resolved fluorescence (HTRF). IC50s of compounds were measured for each kinase in the 40 microL reactions that contain the enzyme, ATP and 500 nM peptide in 50 mM Tris (pH 7.8) buffer with 100 mM NaCl, 5 mM DTT, and 0.1 mg/mL (0.01%) BSA. For the 1 mM IC50 measurements, ATP concentration in the reactions was 1 mM. Reactions were carried out at room temperature for 1 hr and then stopped with 20 μL 45 mM EDTA, 300 nM SA-APC, 6 nM Eu-Py20 in assay buffer (Perkin Elmer, Boston, Mass.). Binding to the Europium labeled antibody took place for 40 minutes and HTRF signal was measured on a Fusion plate reader (Perkin Elmer, Boston, Mass.)	2	2	2	2.23607	0.447214
CN(C(=O)CC#N)C1CCN(c2nccc(-c3cnc4[nH]ccc4c3N[C@@H]3CCCN(C(=O)CC#N)C3)n2)C1	10	55	JAK1, JAK2, JAK3, and Tyk-2 Enzyme Activity Assays: The activity of JAK3 (a.a. 781-1124, ThermoFisher) was quantified by measuring the phosphorylation of SRCtide (FAM-GEEPLYWSFPAKKK-NH2). Kinase reactions were run in a 384-well Greiner plate with 2% final DMSO concentration under the buffer conditions of 20 mM HEPES, pH 7.5, 10 mM MgCl2, 0.01% BSA, and 0.0005% Tween-20. The kinase reaction components were 2.5 nM JAK3, 1 μM SRCtide peptide and 1 uM ATP. Examples were tested in dose-response starting at 2 M (11 concentrations, 3-fold serial dilution, duplicate reactions). The reactions were incubated at room temperature for 40 minutes, then stopped by adding a 1:1 volume of 30 mM EDTA in 20 mM HEPES, pH 7.5 (15 mM EDTA final). After the reaction was stopped, the phosphorylated and unphosphorylated peptides were separated and quantified using a Caliper LC3000/EZ-Reader system and HTS Well Analyzer Software (Caliper, A PerkinElmer Company, Hopkinton, Mass.). GraFit (Erithacus Software Ltd., Horley, U.K.) was used to calculate inhibitor potency by fitting dose-response data to the 4-parameter logistical IC50 equation.The inhibitory potency of candidate compounds of JAK1, JAK2, and Tyk-2 was done at Thermo Fisher Scientific in their Selectscreen using a Z-lyte assay. Following are the assay details for each enzyme.JAK: The 2×JAK-enzyme/Tyr 06 mixture is prepared in 50 mM HEPES pH 6.5, 0.01% BRIJ-35, 10 mM MgCl2, 1 mM EGTA, 0.02% NaN3. The final 10 μL of the Kinase Reaction consists of 21.2-91.5 ng JAK and 2 M Tyr 06 in 50 mM HEPES pH 7.0, 0.01% BRIJ-35, 10 mM MgCl2, 1 mM EGTA, 0.01% NaN3. After the one hour Kinase Reaction incubation, 5 μL of a 1:128 dilution of Development Reagent is added.JAK2: The 2×JAK2/Tyr 06 mixture is prepared in 50 mM HEPES pH 7.5, 0.01% BRIJ-35, 10 mM MgCl2, 1 mM EGTA. The final 10 μL Kinase Reaction consists of 0.12-0.5 ng JAK2 and 2 M Tyr 06 in 50 mM HEPES pH 7.5, 0.01% BRIJ-35, 10 mM MgCl2, 1 mM EGTA. After the one hour Kinase Reaction incubation, 5 μL of a 1:128 dilution of Development Reagent A is added.TYK2: The 2×TYK2/Tyr 03 mixture is prepared in 50 mM HEPES pH 6.5, 0.01% BRIJ-35, 10 mM MgCl2, 1 mM EGTA, 0.02% NaN3. The final 10 μL Kinase Reaction consists of 3.75-15 ng TYK2 and 2 M Tyr 03 in 50 mM HEPES pH 7.0, 0.01% BRIJ-35, 10 mM MgCl2, 1 mM EGTA, 0.01% NaN3. After the one hour KinaseReaction incubation, 5 μL of a 1:4096 dilution of Development Reagent A is added.Data reduction for JAK1, JAK2 and TYK2 is done the same, independent of the enzyme run. In summary, background signal is defined in the absence of enzyme and uninhibited signal is defined in the presence of vehicle (2% DMSO) alone. Compounds were evaluated in an 11 point dose-response ranging from 20 mM to 0.34 nM. IC50 values of compounds are determined using a 4 parameter logistical fit of emission ratio as a function of the concentration of compound.	1	1	1	5.5	0.181818
CN(C(=O)CC#N)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1	0.055	2.34521	Enzymatic Assay: JAK1/2/3 kinase assay are performed in vitro using Kit-Tyr 6 Peptide (Invitrogen, Cat. No. PV4122). TYK2 kinase assay are performed in vitro using Z'-LYTE™ Kinase Assay Kit-Tyr 3 Peptide (Invitrogen, Cat. No. PV3192). Recombinant human JAK1/2/3 or TYK2 catalytic domains are from Invitrogen (Cat No. PV4774/PV4210/PV3855/PV4790); All reactions (20 μL) are started by adding 2.5 μL of the testing compound in 4% DMSO solution, 5 μL of Kinase/Peptide substrate Mixture (3.2, 0.04, 0.2 or 8 μg/mL for Recombinant human JAK1/2/3 catalytic domains, 4 μM for Z-LYTE™ Tyr 6 peptide or Z-LYTE™ Tyr 3 peptide) or Phospho-Peptide solution (Invitrogen, Cat. No. PV3192, diluted with 1.33× Kinase Buffer), 2.5 μL ATP Solution (300/100/40/100M, JAK1/JAK2/JAK3/TYK2) or 1.33× Kinase Buffer (Invitrogen, Cat. No. PV3189, 5× diluted with distilled water). The 384-well assay plate (Corning, Cat. No. 3575) is mixed and incubated at room temperature for 1 hour. 5 μL of the Development Solution (Dilute Development Reagent A (Cat. No. PV3297) is diluted to 1/64 with Development Buffer (Cat. No. PV3127) for JAK1, JAK2 and JAK3 assay; Development Reagent A (Cat. No. PV3297) is diluted to 1/2048 with Development Buffer (Cat. No. PV3127) for TYK2 assay. The diluted Development Solution is then added to each well, mixed and incubated at room temperature for another 1 hour. The kinase reaction is then stopped by adding 5 μL of the Stop Reagent (Invitrogen, Cat. No. PV3094), and the plate is read with Wallac 1420 VICTOR3 Multilabel Counter (PerkinElmer™) at 445 nm and 520 nm fluorescence. All compounds are initially tested at 8 different concentrations (1 μM down to 0.0003 μM) using a 1:3 serial dilution scheme. ||| Enzymatic Assay: JAK1/2/3 kinase assay are performed in vitro using Kit-Tyr 6 Peptide (Invitrogen, Cat. No. PV4122). TYK2 kinase assay are performed in vitro using Z′-LYTE Kinase Assay Kit-Tyr 3 Peptide (Invitrogen, Cat. No. PV3192). Recombinant human JAK1/2/3 or TYK2 catalytic domains are from Invitrogen (Cat No. PV4774/PV4210/PV3855/PV4790); All reactions (20 μL) are started by adding 2.5 μL of the testing compound in 4% DMSO solution, 5 μL of Kinase/Peptide substrate Mixture (3.2, 0.04, 0.2 or 8 μg/mL for Recombinant human JAK1/2/3 catalytic domains, 4 μM for Z-LYTE Tyr 6 peptide or Z-LYTE Tyr 3 peptide) or Phospho-Peptide solution (Invitrogen, Cat. No. PV3192, diluted with 1.33× Kinase Buffer), 2.5 μL ATP Solution (300/100/40/100 μM, JAK1/JAK2/JAK3/TYK2) or 1.33× Kinase Buffer (Invitrogen, Cat. No. PV3189, 5× diluted with distilled water). The 384-well assay plate (Corning, Cat. No. 3575) is mixed and incubated at room temperature for 1 hour. 5 μL of the Development Solution (Dilute Development Reagent A (Cat. No. PV3297) is diluted to 1/64 with Development Buffer (Cat. No. PV3127) for JAK1, JAK2 and JAK3 assay; Development Reagent A (Cat. No. PV3297) is diluted to 1/2048 with Development Buffer (Cat. No. PV3127) for TYK2 assay. The diluted Development Solution is then added to each well, mixed and incubated at room temperature for another 1 hour. The kinase reaction is then stopped by adding 5 μL of the Stop Reagent (Invitrogen, Cat. No. PV3094), and the plate is read with Wallac 1420 VICTOR3 Multilabel Counter (PerkinElmer) at 445 nm and 520 nm fluorescence. All compounds are initially tested at 8 different concentrations (1 μM down to 0.0003 μM) using a 1:3 serial dilution scheme.	2	3	4	42.6401	0.0234521
CN(C(=O)Nc1ccc(C(F)(F)F)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1	0.055	0.55	Enzymatic Assay: JAK1/2/3 kinase assay are performed in vitro using Kit-Tyr 6 Peptide (Invitrogen, Cat. No. PV4122). TYK2 kinase assay are performed in vitro using Z'-LYTE™ Kinase Assay Kit-Tyr 3 Peptide (Invitrogen, Cat. No. PV3192). Recombinant human JAK1/2/3 or TYK2 catalytic domains are from Invitrogen (Cat No. PV4774/PV4210/PV3855/PV4790); All reactions (20 μL) are started by adding 2.5 μL of the testing compound in 4% DMSO solution, 5 μL of Kinase/Peptide substrate Mixture (3.2, 0.04, 0.2 or 8 μg/mL for Recombinant human JAK1/2/3 catalytic domains, 4 μM for Z-LYTE™ Tyr 6 peptide or Z-LYTE™ Tyr 3 peptide) or Phospho-Peptide solution (Invitrogen, Cat. No. PV3192, diluted with 1.33× Kinase Buffer), 2.5 μL ATP Solution (300/100/40/100M, JAK1/JAK2/JAK3/TYK2) or 1.33× Kinase Buffer (Invitrogen, Cat. No. PV3189, 5× diluted with distilled water). The 384-well assay plate (Corning, Cat. No. 3575) is mixed and incubated at room temperature for 1 hour. 5 μL of the Development Solution (Dilute Development Reagent A (Cat. No. PV3297) is diluted to 1/64 with Development Buffer (Cat. No. PV3127) for JAK1, JAK2 and JAK3 assay; Development Reagent A (Cat. No. PV3297) is diluted to 1/2048 with Development Buffer (Cat. No. PV3127) for TYK2 assay. The diluted Development Solution is then added to each well, mixed and incubated at room temperature for another 1 hour. The kinase reaction is then stopped by adding 5 μL of the Stop Reagent (Invitrogen, Cat. No. PV3094), and the plate is read with Wallac 1420 VICTOR3 Multilabel Counter (PerkinElmer™) at 445 nm and 520 nm fluorescence. All compounds are initially tested at 8 different concentrations (1 μM down to 0.0003 μM) using a 1:3 serial dilution scheme. ||| Enzymatic Assay: JAK1/2/3 kinase assay are performed in vitro using Kit-Tyr 6 Peptide (Invitrogen, Cat. No. PV4122). TYK2 kinase assay are performed in vitro using Z′-LYTE Kinase Assay Kit-Tyr 3 Peptide (Invitrogen, Cat. No. PV3192). Recombinant human JAK1/2/3 or TYK2 catalytic domains are from Invitrogen (Cat No. PV4774/PV4210/PV3855/PV4790); All reactions (20 μL) are started by adding 2.5 μL of the testing compound in 4% DMSO solution, 5 μL of Kinase/Peptide substrate Mixture (3.2, 0.04, 0.2 or 8 μg/mL for Recombinant human JAK1/2/3 catalytic domains, 4 μM for Z-LYTE Tyr 6 peptide or Z-LYTE Tyr 3 peptide) or Phospho-Peptide solution (Invitrogen, Cat. No. PV3192, diluted with 1.33× Kinase Buffer), 2.5 μL ATP Solution (300/100/40/100 μM, JAK1/JAK2/JAK3/TYK2) or 1.33× Kinase Buffer (Invitrogen, Cat. No. PV3189, 5× diluted with distilled water). The 384-well assay plate (Corning, Cat. No. 3575) is mixed and incubated at room temperature for 1 hour. 5 μL of the Development Solution (Dilute Development Reagent A (Cat. No. PV3297) is diluted to 1/64 with Development Buffer (Cat. No. PV3127) for JAK1, JAK2 and JAK3 assay; Development Reagent A (Cat. No. PV3297) is diluted to 1/2048 with Development Buffer (Cat. No. PV3127) for TYK2 assay. The diluted Development Solution is then added to each well, mixed and incubated at room temperature for another 1 hour. The kinase reaction is then stopped by adding 5 μL of the Stop Reagent (Invitrogen, Cat. No. PV3094), and the plate is read with Wallac 1420 VICTOR3 Multilabel Counter (PerkinElmer) at 445 nm and 520 nm fluorescence. All compounds are initially tested at 8 different concentrations (1 μM down to 0.0003 μM) using a 1:3 serial dilution scheme.	2	3	3	10	0.1
CN(C(=O)Nc1cccc(C#N)c1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1	0.055	0.55	Enzymatic Assay: JAK1/2/3 kinase assay are performed in vitro using Kit-Tyr 6 Peptide (Invitrogen, Cat. No. PV4122). TYK2 kinase assay are performed in vitro using Z'-LYTE™ Kinase Assay Kit-Tyr 3 Peptide (Invitrogen, Cat. No. PV3192). Recombinant human JAK1/2/3 or TYK2 catalytic domains are from Invitrogen (Cat No. PV4774/PV4210/PV3855/PV4790); All reactions (20 μL) are started by adding 2.5 μL of the testing compound in 4% DMSO solution, 5 μL of Kinase/Peptide substrate Mixture (3.2, 0.04, 0.2 or 8 μg/mL for Recombinant human JAK1/2/3 catalytic domains, 4 μM for Z-LYTE™ Tyr 6 peptide or Z-LYTE™ Tyr 3 peptide) or Phospho-Peptide solution (Invitrogen, Cat. No. PV3192, diluted with 1.33× Kinase Buffer), 2.5 μL ATP Solution (300/100/40/100M, JAK1/JAK2/JAK3/TYK2) or 1.33× Kinase Buffer (Invitrogen, Cat. No. PV3189, 5× diluted with distilled water). The 384-well assay plate (Corning, Cat. No. 3575) is mixed and incubated at room temperature for 1 hour. 5 μL of the Development Solution (Dilute Development Reagent A (Cat. No. PV3297) is diluted to 1/64 with Development Buffer (Cat. No. PV3127) for JAK1, JAK2 and JAK3 assay; Development Reagent A (Cat. No. PV3297) is diluted to 1/2048 with Development Buffer (Cat. No. PV3127) for TYK2 assay. The diluted Development Solution is then added to each well, mixed and incubated at room temperature for another 1 hour. The kinase reaction is then stopped by adding 5 μL of the Stop Reagent (Invitrogen, Cat. No. PV3094), and the plate is read with Wallac 1420 VICTOR3 Multilabel Counter (PerkinElmer™) at 445 nm and 520 nm fluorescence. All compounds are initially tested at 8 different concentrations (1 μM down to 0.0003 μM) using a 1:3 serial dilution scheme. ||| Enzymatic Assay: JAK1/2/3 kinase assay are performed in vitro using Kit-Tyr 6 Peptide (Invitrogen, Cat. No. PV4122). TYK2 kinase assay are performed in vitro using Z′-LYTE Kinase Assay Kit-Tyr 3 Peptide (Invitrogen, Cat. No. PV3192). Recombinant human JAK1/2/3 or TYK2 catalytic domains are from Invitrogen (Cat No. PV4774/PV4210/PV3855/PV4790); All reactions (20 μL) are started by adding 2.5 μL of the testing compound in 4% DMSO solution, 5 μL of Kinase/Peptide substrate Mixture (3.2, 0.04, 0.2 or 8 μg/mL for Recombinant human JAK1/2/3 catalytic domains, 4 μM for Z-LYTE Tyr 6 peptide or Z-LYTE Tyr 3 peptide) or Phospho-Peptide solution (Invitrogen, Cat. No. PV3192, diluted with 1.33× Kinase Buffer), 2.5 μL ATP Solution (300/100/40/100 μM, JAK1/JAK2/JAK3/TYK2) or 1.33× Kinase Buffer (Invitrogen, Cat. No. PV3189, 5× diluted with distilled water). The 384-well assay plate (Corning, Cat. No. 3575) is mixed and incubated at room temperature for 1 hour. 5 μL of the Development Solution (Dilute Development Reagent A (Cat. No. PV3297) is diluted to 1/64 with Development Buffer (Cat. No. PV3127) for JAK1, JAK2 and JAK3 assay; Development Reagent A (Cat. No. PV3297) is diluted to 1/2048 with Development Buffer (Cat. No. PV3127) for TYK2 assay. The diluted Development Solution is then added to each well, mixed and incubated at room temperature for another 1 hour. The kinase reaction is then stopped by adding 5 μL of the Stop Reagent (Invitrogen, Cat. No. PV3094), and the plate is read with Wallac 1420 VICTOR3 Multilabel Counter (PerkinElmer) at 445 nm and 520 nm fluorescence. All compounds are initially tested at 8 different concentrations (1 μM down to 0.0003 μM) using a 1:3 serial dilution scheme.	2	3	3	10	0.1
CN(C(=O)OC(C)(C)C)[C@H]1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1	6.91	81	Enzymatic Assay: A peptide mobility shift assay was used to quantify the phosphorylation of the JAKtide (JAK2 and JAK3) or the IRS-1 peptide (JAK1 and Tyk2). Reactions were carried out in a 384-well plate (Matrical MP-101) in a 10 L total volume. Reaction mixtures contained 20 mM HEPES, pH 7.4, 10 mM magnesium chloride, 0.01% bovine serum albumin (BSA), 0.0005% Tween-20, ATP (4 M for JAK2 and JAK3, 40 M for JAK1 and 7 M for Tyk2)), 2% DMSO and 1 M peptide substrate (JAKtide for JAK2 and JAK3 and IRS-1 peptide for JAK1 and Tyk2). Compounds were diluted serially in 100% dimethyl sulfoxide and tested in an 11 point dose response in duplicate or quadruplicate (200 nl of compound/DMSO was added per 10 L reaction). The reactions were initiated by the addition of enzyme to the final concentration of 2 nM JAK2, 1 nM JAK3, 12 nM Tyk2 or 20 nM JAK1. The assay was run for 240 minutes for JAK1, 150 minutes for JAK2, 90 minutes for JAK3 and 70 minutes for Tyk2.	1	1	1	11.7221	0.0853086
